time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_x_raw,acc_y_raw,acc_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw
1564084120.7,-0.0551710872379,0.048632405261,0.963320673839,-0.87783135063,-0.704450832807,0.335447393728,-903.923093305,796.793327797,15783.0459202,-114.995906933,-92.2830590977,43.9436085784
1564084120.81,-0.0478961660141,0.190180297547,0.945797200205,-9.93126958961,-6.03247903197,-11.4362652846,-784.730783975,3115.91399502,15495.9413282,-1300.99631624,-790.254753188,-1498.15075228
1564084120.93,-0.0439366275377,0.17338394748,0.948190136434,-9.09997469172,-4.79029983106,-11.4498906645,-719.857705577,2840.72259552,15535.1471953,-1192.09668462,-627.529277869,-1499.93567705
1564084121.04,-0.0479902304089,0.16295473242,0.950929716541,-10.315931421,-4.43417061131,-11.0789473996,-786.27193502,2669.85033596,15580.0324758,-1351.38701615,-580.876350082,-1451.34210935
1564084121.15,-0.0493679651805,0.148099688865,0.955079908949,-10.1263230117,-5.57853980973,-16.1573122016,-808.844741518,2426.46530237,15648.0292282,-1326.54831454,-730.788715074,-2116.60789841
1564084121.27,-0.0410864421,0.147864915291,0.953199847742,-10.3381181915,-6.14282323333,-26.8644817448,-673.160267366,2422.61877213,15617.2263054,-1354.29348308,-804.709843567,-3519.24710857
1564084121.38,-0.0398830713275,0.13920635345,0.95663474578,-10.7004895784,-6.27968594817,-28.9536060894,-653.444240629,2280.75689492,15673.5036749,-1401.76413478,-822.63885921,-3792.92239771
1564084121.5,-0.0304260141947,0.121281811855,0.95967732589,-11.5479978725,-6.71583949076,-31.6506118927,-498.499816566,1987.08120543,15723.3533074,-1512.7877213,-879.774973289,-4146.23015794
1564084121.61,-0.0249175924628,0.113474919732,0.961878538613,-11.1267858715,-6.9686830226,-30.5809705507,-408.24983491,1859.17308488,15759.4179766,-1457.60894917,-912.89747596,-4006.10714215
1564084121.72,-0.013807669154,0.0922641465085,0.965031505064,-9.73013781872,-6.36723456766,-29.525163572,-226.224851419,1511.65577639,15811.076179,-1274.64805425,-834.107728364,-3867.79642793
1564084121.84,-0.0125489725511,0.0933892943576,0.963035190495,-7.82964312081,-4.79081645441,-24.0489830927,-205.602366277,1530.09019876,15778.3685611,-1025.68324883,-627.596955528,-3150.41678514
1564084121.95,-0.00565442685847,0.0839282946094,0.962141827696,-7.04591544995,-2.8712767937,-11.3173672262,-92.6421296492,1375.08117888,15763.731705,-923.014923944,-376.137259975,-1482.57510663
1564084122.06,-0.00567492167262,0.0812239417109,0.960361238676,-4.82223993549,-2.32002697693,2.06475117585,-92.9779166843,1330.77306099,15734.5585345,-631.71343155,-303.923533977,270.482404037
1564084122.18,-0.00642578888036,0.0820370944148,0.960321208559,-4.04993960607,-1.881917409,6.89873407353,-105.280125016,1344.09575489,15733.902681,-530.542088395,-246.53118058,903.734163633
1564084122.29,-0.00881055374233,0.0822074084109,0.96113967364,-2.98235022561,-1.07540505742,10.1088606662,-144.352112514,1346.8861794,15747.3124129,-390.687879555,-140.878062522,1324.26074727
1564084122.4,-0.0174753968056,0.0830686988198,0.961070628151,-0.53449688244,-1.67931493336,16.368966966,-286.316901263,1360.99756146,15746.1811716,-70.0190915996,-219.99025627,2144.33467254
1564084122.52,-0.014507154,0.0827940555003,0.959861026274,-0.701657881219,-1.21367351636,19.2870321014,-237.685211137,1356.49780532,15726.3630545,-91.9171824397,-158.991230643,2526.60120529
1564084122.63,-0.01510721985,0.0840605483878,0.959895431459,-1.81393484119,-1.42589395098,19.549168586,-247.516690023,1377.24802479,15726.926749,-237.625464196,-186.792107578,2560.94108476
1564084122.74,-0.0130838025525,0.083466993549,0.96114709925,-1.98215967768,-1.53444959405,20.705702109,-214.365021021,1367.52322231,15747.4340741,-259.662917776,-201.01289682,2712.44697628
1564084122.86,-0.0129472972973,0.0813947082566,0.960540201825,-2.49081393892,-2.05810387129,20.7374219745,-212.128518919,1333.57090008,15737.4906667,-326.296625999,-269.611607138,2716.60227866
1564084122.97,-0.00720920819255,0.0809212530559,0.959847509768,-2.52570201068,-2.30649195744,19.6667332121,-118.115667027,1325.81381007,15726.1416,-330.866963399,-302.150446425,2576.34205079
1564084123.08,-0.00563379518579,0.0783955340003,0.962397915041,-3.27389516839,-2.08881986093,21.5580751581,-92.304100324,1284.43242906,15767.92744,-428.880267059,-273.635401782,2824.10784571
1564084123.2,-0.00231162660471,0.0747063712253,0.962251873537,-3.35337588056,-2.1921516153,19.6266951232,-37.8736902916,1223.98918616,15765.534696,-439.292240353,-287.171861604,2571.09706114
1564084123.31,-0.000517963944242,0.0707757731653,0.960777662746,-3.20200775815,-1.98438683545,17.8441782826,-8.48632126246,1159.59026754,15741.3812264,-419.463016318,-259.954675444,2337.58735503
1564084123.42,0.00156019963768,0.0695087427237,0.962038763659,-3.31997492127,-1.63632983129,16.8773177063,25.5623108638,1138.83124079,15762.0431038,-434.916714686,-214.359207899,2210.92861952
1564084123.53,0.0160282031114,0.0578703684514,0.960952074793,-3.00095452838,-1.93300219167,16.2995095998,262.606079777,948.148116707,15744.2387934,-393.125043217,-253.223287109,2135.23575757
1564084123.65,0.0192105390503,0.0594075503562,0.960682062626,-3.05658426638,-2.1221447206,14.8100166551,314.7454718,973.333305037,15739.8149141,-400.412538896,-278.000958398,1940.11218181
1564084123.76,0.0217084304577,0.0588623031331,0.960072840738,-2.84787240463,-1.98931956152,13.6877936155,355.67092462,964.399974533,15729.8334227,-373.071285006,-260.600862558,1793.10096363
1564084123.87,0.024029774912,0.0562231431323,0.959963994165,-2.46155844661,-2.11176165117,12.3060371547,393.703832158,921.15997708,15728.0500804,-322.464156505,-276.640776303,1612.09086727
1564084123.98,0.0265096099208,0.0544338366316,0.959573063498,-2.43372321263,-2.00287556238,10.7571128286,434.333448942,891.843979372,15721.6450724,-318.817740855,-262.376698672,1409.18178054
1564084124.1,0.0289856020537,0.0528967029684,0.959343296211,-2.40332799061,-1.88121396034,9.53789009533,474.900104048,866.659581434,15717.8805651,-314.835966769,-246.439028805,1249.46360249
1564084124.21,0.0323126277858,0.0535640639216,0.960943146277,-2.30956007704,-1.53736737347,9.59631482625,529.410093643,877.593623291,15744.0925086,-302.552370092,-201.395125925,1257.11724224
1564084124.33,0.0378704275072,0.0514058997169,0.960966995712,-2.40913842048,-1.02485201017,11.0534772368,620.469084279,842.234260962,15744.4832577,-315.597133083,-134.255613332,1448.00551802
1564084124.45,0.038404673819,0.0515143331827,0.961061702391,-2.28501847156,-1.58190879389,8.47713714667,629.222175851,844.010834866,15746.034932,-299.337419775,-207.230051999,1110.50496621
1564084124.56,0.0400085423746,0.052442001427,0.961464321214,-2.12063876181,-1.54661867786,7.18209518773,655.499958266,859.209751379,15752.6314388,-277.803677797,-202.607046799,940.854469592
1564084124.68,0.0424530006372,0.0503716294093,0.961240740655,-2.0062848093,-1.42936139022,6.0302978827,695.549962439,825.288776241,15748.9682949,-262.823310018,-187.246342119,789.969022633
1564084124.79,0.0447994974484,0.0491918883433,0.960746549402,-1.91787006882,-1.81924967868,4.88681007916,733.994966195,805.959898617,15740.8714654,-251.240979016,-238.321707907,640.17212037
1564084124.9,0.0480832195786,0.045884027634,0.96103419915,-2.02989985583,-1.90373692455,3.14851075063,787.795469576,751.763908755,15745.5843189,-265.916881114,-249.389537117,412.454908333
1564084125.02,0.0507944288707,0.0460807811206,0.957338005797,-1.91240605346,-2.75076781225,1.57869784351,832.215922618,754.98751788,15685.025887,-250.525193003,-360.350583405,206.8094175
1564084125.13,0.0522823687962,0.045110398321,0.96084736928,-1.83872270002,-1.96271393179,-0.166194841606,856.594330356,739.088766092,15742.5232983,-240.872673703,-257.115525064,-21.7715242504
1564084125.24,0.0440267881665,0.0456042413014,0.960026304227,-1.47240768193,-2.4916333783,-2.70911734218,721.334897321,747.179889483,15729.0709685,-192.885406332,-326.403972558,-354.894371825
1564084125.36,0.0475586796624,0.0426795593588,0.965073478492,-2.2976859977,-2.62491278857,-2.50385446292,779.201407589,699.261900534,15811.7638716,-300.996865699,-343.863575302,-328.004934643
1564084125.47,0.0506397257587,0.0440268377979,0.964879607205,-2.27326090938,-2.63875738757,-2.790110238,829.68126683,721.335710481,15808.5874844,-297.797179129,-345.677217772,-365.504441179
1564084125.58,0.0548775109953,0.0431886071431,0.96326469336,-2.87494245203,-2.41533966408,-2.6683511226,899.113140147,707.602139433,15782.128736,-376.617461216,-316.409495995,-349.553997061
1564084125.7,0.0562256973958,0.0427515823663,0.964008536524,-2.33172301599,-2.54479806409,-2.40533280423,921.201826132,700.44192549,15794.3158624,-305.455715095,-333.368546395,-315.098597355
1564084125.81,0.0580250026562,0.0421629475672,0.963384050059,-2.30923773729,-2.53688314317,-2.36556288259,950.681643519,690.797732941,15784.0842762,-302.510143585,-332.331691756,-309.888737619
1564084125.93,0.0590096117656,0.0458568090605,0.958280996615,-2.64930632997,-2.45953070672,-2.32060964777,966.813479167,751.317959647,15700.4758485,-347.059129227,-322.19852258,-303.999863857
1564084126.04,0.070296150589,0.0511832375294,0.952443131329,-1.5370474527,-2.76853946811,0.169466584187,1151.73213125,838.586163682,15604.8282637,-201.353216304,-362.678670322,22.2001225285
1564084126.15,0.0664159495926,0.043257296589,0.952731044758,-1.71082362346,-2.95733437626,-0.0192357994226,1088.15891813,708.727547314,15609.5454373,-224.117894674,-387.41080329,-2.51988972436
1564084126.27,0.0691005265083,0.0416415278676,0.95176946372,-2.00157332218,-2.93641009894,-0.154716799633,1132.14302631,682.254792582,15593.7908936,-262.206105206,-384.669722961,-20.2679007519
1564084126.38,0.06944145042,0.0410174141433,0.953369861098,-2.16935492126,-2.45345611195,-0.246115348677,1137.72872368,672.029313324,15620.0118042,-284.185494686,-321.402750665,-32.2411106767
1564084126.49,0.070260977253,0.041066063354,0.954761390613,-2.1860072154,-2.24398836335,-0.296312974115,1151.15585131,672.826381992,15642.8106238,-286.366945217,-293.962475598,-38.8169996091
1564084126.6,0.0709253092152,0.0404750820186,0.956013767177,-2.12618511981,-2.07989487052,-0.35217785991,1162.04026618,663.143743793,15663.3295614,-278.530250695,-272.466228039,-46.1352996482
1564084126.71,0.0713278954812,0.0404803081917,0.956847937334,-2.03036050096,-1.94289774988,-0.403982974682,1168.63623956,663.229369413,15676.9966053,-265.977225626,-254.519605235,-52.9217696833
1564084126.82,0.0716902231206,0.0400699726851,0.957696346726,-1.96091223712,-1.80509652451,-0.434577043626,1174.57261561,656.506432472,15690.8969448,-256.879503063,-236.467644711,-56.929592715
1564084126.94,0.071772177371,0.0395053582291,0.957971633928,-1.90527902868,-1.66046473466,-0.488829262928,1175.91535405,647.255789225,15695.4072503,-249.591552757,-217.52088024,-64.0366334435
1564084127.05,0.0718703502589,0.0392413458436,0.958341462723,-1.84986562963,-1.57762436806,-0.558266947322,1177.52381864,642.930210302,15701.4665253,-242.332397481,-206.668792216,-73.1329700992
1564084127.16,0.072056362108,0.0391258050093,0.958723136763,-1.81068059338,-1.49161765645,-0.584883000681,1180.57143678,641.037189272,15707.7198727,-237.199157733,-195.401912994,-76.6196730892
